39,26,23,9.63,1.44,5.01,58,26,22,8.43,1.08,4.69,52,26,22,8.92,1.38,4.98,57,26,22,11.37,1.63,5.33,58,26,22,9.58,1.1,4.85,51,26,22,11.32,1.67,5.08,58,26,22,11.01,1.04,5.43,61,26,22,9.09,1.42,5.07,49,26,22,9.75,1.78,4.76,51,26,22,10.38,1.28,5.22
39,27,24,9.36,1.37,5.1,58,27,23,8.01,1.42,4.67,51,27,23,8.38,2.26,5.02,57,27,23,10.81,1.55,5.16,58,27,23,9.34,1.43,4.79,51,27,23,11.71,1.58,4.97,57,27,23,11.41,1.16,5.53,61,27,23,8.98,1.14,5.02,49,27,23,9.26,1.16,4.64,50,27,24,9.98,1.53,5.37
39,28,25,9.84,1.3,5.09,58,28,24,8.22,1.35,4.68,51,28,24,8.92,1.25,4.83,56,28,24,11.21,2,5.18,58,28,24,8.87,1.36,4.57,51,28,24,12.07,1.51,5,56,28,24,11.79,1.35,5.67,61,28,24,8.53,1.08,4.89,48,28,24,9.12,1.78,4.65,50,28,25,9.48,1.45,5.31
39,29,26,9.35,1.23,5.03,57,29,25,8.76,1.28,4.68,50,29,25,9.42,1.38,4.85,56,29,25,11.6,1.28,5.26,57,29,25,9.29,1.06,4.6,51,29,25,12.42,1.43,4.94,54,29,25,11.2,1.39,5.8,59,29,25,8.11,1.03,4.96,48,29,25,9.61,1.69,4.64,50,29,26,9.22,1.18,5.2
40,30,18,9.1,4.01,5.78,58,30,17,9.27,3.76,5.33,51,30,17,9.9,3.62,5.49,58,30,17,11.97,4.2,5.87,58,30,18,8.97,3.32,5.33,54,30,17,12.75,3.75,5.67,57,30,17,11.59,4.21,6.29,60,30,17,8.65,3.84,5.69,49,30,17,10.08,3.66,5.42,52,30,17,9.31,4.01,5.72
40,31,19,8.65,3.8,5.63,58,31,18,9.76,2.85,5.37,51,31,18,10.35,3.44,5.48,58,31,18,12.33,3.04,5.79,58,31,19,9.47,3.16,5.28,54,31,18,12.11,3.57,5.68,57,31,18,11.96,3.57,6.18,60,31,18,9.04,2.8,5.68,49,31,18,10.53,2.72,5.38,52,31,18,9.8,3.8,5.58
40,32,20,8.97,3.61,5.63,58,32,19,10.22,2.66,5.24,51,32,19,10.79,2.66,5.39,58,32,19,12.66,1.94,5.79,58,32,20,9,2.54,5.23,54,32,19,11.5,2.66,5.52,57,32,19,12.01,2.66,6.1,60,32,19,9.54,1.71,5.63,49,32,19,10.95,2.36,5.31,52,32,19,9.31,2.66,5.47
40,33,21,9.18,3.34,5.57,58,33,20,9.71,2.4,5.22,51,33,20,11.2,1.58,5.33,57,33,20,12.03,2.53,5.87,58,33,21,8.55,2.41,5.08,54,33,20,10.93,1.58,5.47,57,33,20,12.36,2.53,6.06,60,33,20,10.01,1.62,5.44,49,33,20,10.4,2.24,5.35,52,33,20,9.13,2.39,5.41
40,34,22,8.72,2.65,5.31,58,34,21,9.22,1.33,5.22,51,34,21,10.64,1.5,5.43,57,34,21,12.37,1.45,5.89,58,34,22,8.51,1.41,4.98,54,34,21,11.33,1.5,5.55,57,34,21,12.11,2.22,5.84,59,34,20,9.51,2.31,5.33,49,34,21,10.63,2.13,5.41,52,34,21,9.62,1.36,5.25
40,35,23,8.09,2.21,5.17,58,35,22,9.71,1.27,5.14,50,35,22,10.26,2.37,5.59,57,35,22,10.81,1.38,5.8,58,35,23,9.03,1.32,4.83,54,35,22,11.72,1.42,5.57,57,35,22,11.5,1.16,5.73,59,35,21,9.04,1.79,5.22,49,35,22,11.05,1.11,5.38,52,35,22,10.09,1.29,5.19
40,36,24,7.68,1.15,5.05,58,36,23,10.18,1.2,5.03,50,36,23,10.19,2.25,5.56,57,36,23,11.22,1.31,5.74,58,36,24,9.53,1.26,4.62,53,36,23,12.08,1.35,5.63,56,36,24,10.59,1.1,5.7,58,36,22,9.54,1.87,5.25,48,36,23,11.45,2.13,5.45,52,36,23,10.54,1.09,5.04
40,37,25,8.25,1.09,4.99,58,37,24,10.3,1.11,5.07,50,37,24,10.63,1.19,5.47,56,37,24,11.6,1.24,5.83,58,37,25,9.05,1.19,4.5,52,37,24,12.43,1.28,5.74,56,37,25,10.06,1.52,5.6,57,37,24,10.01,1.03,5.23,48,37,24,10.87,1.15,5.39,52,37,24,10.01,1.03,4.95
40,38,26,8.79,1.99,4.95,56,38,25,10.73,1.09,5.24,50,38,25,11.03,1.13,5.31,55,38,26,11.02,1.18,5.97,58,38,26,8.6,1.14,4.42,52,38,25,12.19,1.22,5.72,56,38,26,10.27,1.44,5.59,56,38,25,10.46,1.73,5.15,47,38,25,10.33,1.1,5.4,51,38,26,10.46,1.63,5.11
